Title,Authors,Year,DOI,PubMed IDs,Full Authors,distr,Cited By Count
Protein structure comparison using representation by line segment sequences.,Tatsuya Akutsu and Hiroshi Tashimo,1996,,9390221,"{7102080520: 'Tatsuya Akutsu', 7801453395: 'H. Tashimo'}",,8
Quaternion contact ribbons: a new tool for visualizing intra- and intermolecular interactions in proteins.,"Kurt Albrect, John Hart, Alex Shaw and A. Keith Dunker",1996,,9390222,"{7103391181: 'K. Albrecht', 55243117900: 'John C. Hart', 57196816409: 'A. Shaw', 7005069650: 'A. Keith Dunker'}","[5.2092910e-01 3.2582842e-02 3.0846679e-01 7.9276993e-05 7.9276993e-05
 3.7339464e-02 7.9276993e-05 7.9276993e-05 3.8925003e-02 7.9276993e-05
 1.1178056e-02 7.9276993e-05 5.0023779e-02 7.9276993e-05]",5
Fast protein fold recognition via sequence to structure alignment and contact capacity potentials.,"Nickolai N. Alexandrov, Ruth Nussinov and Ralk M. Zimmer",1996,,9390223,"{7004299612: 'Nickolai N. Alexandrov', 34572176500: 'Ruth Nussinov', 7101690072: 'Ralf M. Zimmer'}","[0.35456887 0.0006435  0.12934364 0.0006435  0.0006435  0.2001287
 0.0006435  0.0006435  0.20656371 0.0006435  0.02638353 0.0006435
 0.07142857 0.00707851]",118
A programming course in bioinformatics for computer and information science students.,Russ B. Altman and John Koza,1996,,9390224,"{7202798518: 'Russ B. Altman', 55167951500: 'J. Koza'}","[1.6253847e-01 2.6070837e-02 5.2382267e-01 3.9441511e-05 3.7114460e-02
 8.4444277e-02 3.9441511e-05 3.9441511e-05 4.0664196e-02 5.2102238e-02
 1.0294234e-02 3.1947624e-03 1.9760195e-02 3.9875366e-02]",3
Massively parallel algorithms for chromosome reconstruction.,"Suchendra M. Bhandarkar, Sridhar Chirravuri, Jonathan Arnord and David Whitmire",1996,,9390225,"{7006828161: 'Suchendra M. Bhandarkar', 6508304626: 'Sridhar Chirravuri', 7403060429: 'Jonathan Arnold', 7004064831: 'David R. Whitmire'}","[9.5343450e-03 1.9284661e-01 7.2745472e-02 6.3737887e-03 5.2675940e-05
 6.2210280e-02 4.7935103e-03 3.3238515e-02 5.3102612e-01 5.2675940e-05
 5.2675940e-05 5.2675940e-05 1.4275179e-02 7.2745472e-02]",3
"Structure formation of biopolymers is complex, their evolution may be simple.",Erich Bornberg-Bauer,1996,,9390226,{6603818279: 'Erich G. Bornberg-Bauer'},"[0.19812253 0.0993083  0.34140316 0.00049407 0.00049407 0.00049407
 0.08448617 0.01037549 0.11413044 0.00049407 0.00049407 0.00049407
 0.06966404 0.07954546]",1
RNA pseudoknot modeling using intersections of stochastic context free grammars with applications to database search.,"Michael Brown and Charles Wilson,",1996,,9390227,"{7405387632: 'Michael P.S. Brown', 58277207500: 'Charles Wilson'}","[2.0824265e-01 1.8974165e-02 8.9476682e-02 7.1448856e-03 4.7317124e-05
 8.8057168e-02 4.7317124e-05 4.7317124e-05 2.4089147e-01 6.0140062e-02
 1.0457084e-02 4.7317124e-05 7.1448856e-03 2.6928172e-01]",31
How similar must a template protein be for homology modeling by side-chain packing methods?,"Su Yun Chung and S. Subbiah,",1996,,9390228,"{56305100600: 'Suyun Chung', 7003486831: 'Subramanian Subbiah'}","[6.4341962e-01 1.8890845e-02 2.5592696e-02 4.1886575e-05 6.3248728e-03
 2.2916143e-01 4.1886575e-05 8.7961799e-04 4.0252995e-02 9.6757989e-03
 1.3445590e-02 4.1886575e-05 4.6075232e-04 1.1770127e-02]",43
Mixed direct-iterative methods for boundary integral formulations of dielectric solvation models.,"Steven A. Corcelli, Joel D. Kress, Lawrence R. Pratt and Gregory Tawa",1996,,9390229,"{6602388133: 'Steven A. Corcelli', 7102402058: 'Joel D. Kress', 7102436515: 'Lawrence R. Pratt', 57212600469: 'Gregory J. Tawa'}","[4.4205350e-01 1.7505552e-01 1.2800042e-01 5.2870888e-05 3.9706036e-02
 1.1161045e-01 2.6964152e-03 5.2870888e-05 7.3543407e-02 5.2870888e-05
 5.8686687e-03 6.3973777e-03 1.4856720e-02 5.2870888e-05]",9
(Probably) all possible protein folds at low resolution.,Gordon Crippen and Vladimir Maiorov,1996,,9390230,"{7006327335: 'Gordon M. Crippen', 19535276200: 'Vladimir N. MaÇorov'}","[4.58945155e-01 3.79955918e-02 7.83773884e-02 6.11845317e-05
 6.11845317e-05 2.72332340e-01 6.11845317e-05 1.29099367e-02
 1.05298586e-01 5.56779280e-03 8.01517349e-03 3.73225636e-03
 6.79148315e-03 9.85070970e-03]",0
