,pdf,authors,titles,number,available
0,https://psb.stanford.edu/psb-online/proceedings/psb14/aguiar.pdf,"Derek Aguiar, Wendy S.W. Wong, Sorin Istrail",Tumor Haplotype Assembly Algorithms for Cancer Genomics,0.0,True
1,https://psb.stanford.edu/psb-online/proceedings/psb14/badea.pdf,Liviu Badea,Extracting Significant Sample-Specific Cancer Mutations Using Their Protein Interactions,1.0,True
2,https://psb.stanford.edu/psb-online/proceedings/psb14/chaibubneto.pdf,"Elias Chaibub Neto, In Sock Jang, Stephen H. Friend, Adam A. Margolin","The Stream Algorithm: Computationally Efficient Ridge-Regression via Bayesian Model Averaging, and Applications to Pharmacogenomic Prediction of Cancer Cell Line Sensitivity",2.0,True
3,https://psb.stanford.edu/psb-online/proceedings/psb14/gitter.pdf,"Anthony Gitter, Alfredo Braunstein, Andrea Pagnani, Carlo Baldassi, Christian Borgs, Jennifer Chayes, Riccardo Zecchina, Ernest Fraenkel",Sharing Information to Reconstruct Patient-Specific Pathways in Heterogeneous Diseases,3.0,True
4,https://psb.stanford.edu/psb-online/proceedings/psb14/hu.pdf,"Hao Hu, Chad D. Huff",Detecting Statistical Interaction Between Somatic Mutational Events and Germline Variation from Next-Generation Sequence Data,4.0,True
5,https://psb.stanford.edu/psb-online/proceedings/psb14/jang.pdf,"In Sock Jang, Elias Chaibub Neto, Justin Guinney, Stephen H. Friend, Adam A. Margolin",Systematic Assessment of Analytical Methods for Drug Sensitivity Prediction from Cancer Cell Line Data,5.0,True
6,https://psb.stanford.edu/psb-online/proceedings/psb14/mayba.pdf,"Oleg Mayba, Florian Gnad, Michael Peyton, Fan Zhang, Kimberly Walter, Pan Du, Melanie A. Huntley, Zhaoshi Jiang, Jinfeng Liu, Peter M. Haverty, Robert C. Gentleman, Ruiqiang Li, John D. Minna, Yingrui Li, David S. Shames, Zemin Zhang",Integrative Analysis of Two Cell Lines Derived from a Non-Small-Lung Cancer Patient - A Panomics Approach,6.0,True
7,https://psb.stanford.edu/psb-online/proceedings/psb14/min.pdf,"Martin Renqiang Min, Salim Chowdhury, Yanjun Qi, Alex Stewart, Rachel Ostroff",An Integrated Approach To Blood-Based Cancer Diagnosis And Biomarker Discovery,7.0,True
8,https://psb.stanford.edu/psb-online/proceedings/psb14/morgan.pdf,"Alexander A. Morgan, Matthew D. Li, Achal S. Achrol, Purvesh J. Khatri, Samuel H. Cheshier",Multiplex Meta-Analysis of Medulloblastoma Expression Studies with External Controls,8.0,True
9,https://psb.stanford.edu/psb-online/proceedings/psb14/blucher.pdf,"Aurora S. Blucher, Shannon K. McWeeney",Challenges in Secondary Analysis of High Throughput Screening Data,9.0,True
10,https://psb.stanford.edu/psb-online/proceedings/psb14/brubaker.pdf,"Douglas Brubaker, Analisa Difeo, Yanwen Chen, Taylor Pearl, Kaide Zhai, Gurkan Bebek, Mark Chance, Jill Barnholtz-Sloan",Drug Intervention Response Predictions with Paradigm (DIRPP) Identifies Drug Resistant Cancer Cell Lines and Pathway Mechanisms of Resistance,10.0,True
11,https://psb.stanford.edu/psb-online/proceedings/psb14/ng.pdf,"Clara Ng, Ruth Hauptman, Yinliang Zhang, Philip E. Bourne, Lei Xie",Anti-Infectious Drug Repurposing Using an Integrated Chemical Genomics and Structural Systems Biology Approach,11.0,True
12,https://psb.stanford.edu/psb-online/proceedings/psb14/yang.pdf,"Fan Yang, Jinbo Xu, Jianyang Zeng; Pacific Symposium on Biocomputing 19:148-159(2014)","Drug-Target Interaction Prediction by Integrating Chemical, Genomic, Functional and Pharmacological Data",12.0,True
13,https://psb.stanford.edu/psb-online/proceedings/psb14/yera.pdf,"Emmanuel R. Yera, Ann E. Cleves, Ajay N. Jain",Prediction of Off-Target Drug Effects Through Data Fusion,13.0,True
14,https://psb.stanford.edu/psb-online/proceedings/psb14/zhu.pdf,"Qian Zhu, Cui Tao, Feichen Shen, Christopher Chute",Exploring the Pharmacogenomics Knowledge Base (PharmGKB) for Repositioning Breast Cancer Drugs by Leveraging Web Ontology Language (OWL) and Cheminformatics Approaches,14.0,True
15,https://psb.stanford.edu/psb-online/proceedings/psb14/darabos.pdf,"Christian Darabos, Samantha H. Harmon, Jason H. Moore",Using the Bipartite Human Phenotype Network to Reveal Pleiotropy and Epistasis Beyond the Gene,15.0,True
16,https://psb.stanford.edu/psb-online/proceedings/psb14/hall.pdf,"Molly A. Hall, Scott M. Dudek, Robert Goodloe, Dana C. Crawford, Sarah A. Pendergrass, Peggy Peissig, Murray Brilliant, Catherine A. McCarty, Marylyn D. Ritchie",Environment-Wide Association Study (EWAS) for Type 2 Diabetes in the Marshfield Personalized Medicine Research Project Biobank,16.0,True
17,https://psb.stanford.edu/psb-online/proceedings/psb14/philip.pdf,"Vivek M. Philip, Anna L. Tyler, Gregory W. Carter",Dissection of Complex Gene Expression Using the Combined Analysis of Pleiotropy and Epistasis,17.0,True
18,https://psb.stanford.edu/psb-online/proceedings/psb14/daneshjou.pdf,"Roxana Daneshjou, Zachary Zappala, Kim Kukurba, Sean M Boyle, Kelly E Ormond, Teri E Klein, Michael Snyder, Carlos D Bustamante, Russ B Altman, Stephen B Montgomery",PATH-SCAN: A Reporting Tool for Identifying Clinically Actionable Variants,18.0,True
